job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
2,5,LogisticRegression,MCMC,Float64,1,0.210126893,"LogisticRegression",MCMC,GPU,"Float64",1.0,-Inf
2,5,LogisticRegression,MCMC,Float64,2,0.254812943,"LogisticRegression",MCMC,GPU,"Float64",2.0,-3.4100979580281168
2,5,LogisticRegression,MCMC,Float64,4,0.264511695,"LogisticRegression",MCMC,GPU,"Float64",4.0,-3.3589839847519785
2,5,LogisticRegression,MCMC,Float64,8,0.32257926,"LogisticRegression",MCMC,GPU,"Float64",8.0,-4.032564464014426
2,5,LogisticRegression,MCMC,Float64,16,0.32768246,"LogisticRegression",MCMC,GPU,"Float64",16.0,-5.013776520418741
2,5,LogisticRegression,MCMC,Float64,32,0.361773126,"LogisticRegression",MCMC,GPU,"Float64",32.0,-5.8022399355289584
2,5,LogisticRegression,MCMC,Float64,64,0.36568479,"LogisticRegression",MCMC,GPU,"Float64",64.0,-6.760014061464051
2,5,LogisticRegression,MCMC,Float64,128,0.421755962,"LogisticRegression",MCMC,GPU,"Float64",128.0,-7.73866664094575
2,5,LogisticRegression,MCMC,Float64,256,0.438797424,"LogisticRegression",MCMC,GPU,"Float64",256.0,-8.744682932529148
2,5,LogisticRegression,MCMC,Float64,512,0.462107234,"LogisticRegression",MCMC,GPU,"Float64",512.0,-9.708692178977682
2,5,LogisticRegression,MCMC,Float64,1024,0.974184809,"LogisticRegression",MCMC,GPU,"Float64",1024.0,-10.730934952747601
2,5,LogisticRegression,MCMC,Float64,2048,0.437775462,"LogisticRegression",MCMC,GPU,"Float64",2048.0,-11.707344236342832
2,5,LogisticRegression,MCMC,Float64,4096,0.448496814,"LogisticRegression",MCMC,GPU,"Float64",4096.0,-12.734142073136631
2,5,LogisticRegression,MCMC,Float64,8192,0.529549945,"LogisticRegression",MCMC,GPU,"Float64",8192.0,-13.738738172241616
2,5,LogisticRegression,MCMC,Float64,16384,0.615054591,"LogisticRegression",MCMC,GPU,"Float64",16384.0,-14.738419600841064
