job_seed,n_rounds,job_model,job_scheme_types,job_elt_type,"N","time","model","type","backend","elt_type","ESS","median_MC_err"
3,7,LogisticRegression,SAIS,Float64,1,0.703805119,"LogisticRegression",SAIS,GPU,"Float64",1.0,-Inf
3,7,LogisticRegression,SAIS,Float64,2,0.866190452,"LogisticRegression",SAIS,GPU,"Float64",1.0158197398511781,-3.432996102771029
3,7,LogisticRegression,SAIS,Float64,4,1.025972846,"LogisticRegression",SAIS,GPU,"Float64",1.203188780527288,-1.4554535372941346
3,7,LogisticRegression,SAIS,Float64,8,1.139176701,"LogisticRegression",SAIS,GPU,"Float64",2.564769843624695,-3.3119488132664867
3,7,LogisticRegression,SAIS,Float64,16,1.304256276,"LogisticRegression",SAIS,GPU,"Float64",6.718586599331288,-3.4869603073028315
3,7,LogisticRegression,SAIS,Float64,32,1.451950448,"LogisticRegression",SAIS,GPU,"Float64",6.982582137987854,-3.3947231694763627
3,7,LogisticRegression,SAIS,Float64,64,1.460735949,"LogisticRegression",SAIS,GPU,"Float64",12.487776081298616,-4.558025578111713
3,7,LogisticRegression,SAIS,Float64,128,1.562025571,"LogisticRegression",SAIS,GPU,"Float64",5.374120273909736,-3.7343606146746464
3,7,LogisticRegression,SAIS,Float64,256,1.759416526,"LogisticRegression",SAIS,GPU,"Float64",38.945258753234164,-5.5740527008951055
3,7,LogisticRegression,SAIS,Float64,512,1.764981422,"LogisticRegression",SAIS,GPU,"Float64",55.82487545151151,-6.572936941109755
3,7,LogisticRegression,SAIS,Float64,1024,1.76787473,"LogisticRegression",SAIS,GPU,"Float64",100.79899923858555,-7.28987935972808
3,7,LogisticRegression,SAIS,Float64,2048,1.767317622,"LogisticRegression",SAIS,GPU,"Float64",184.98089741631034,-7.962998263768268
3,7,LogisticRegression,SAIS,Float64,4096,1.766474249,"LogisticRegression",SAIS,GPU,"Float64",210.45933762279793,-7.9494708985024705
