job_seed,job_model,job_elt_type,"N","time","model","type","backend","elt_type","chain_length","max_Rhat","med_Rhat","max_Rhat2","med_Rhat2"
7,LogisticRegression,Float32,1024,13.897955705,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
7,LogisticRegression,Float32,2048,13.232466178,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
7,LogisticRegression,Float32,4096,13.487617954,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
7,LogisticRegression,Float32,8192,13.549398165,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
7,LogisticRegression,Float32,16384,16.292383466,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
7,LogisticRegression,Float32,32768,31.923880195,"LogisticRegression",MCMC,GPU,"Float32",1000,NaN,NaN,NaN,NaN
6,LogisticRegression,Float64,1024,15.025129073,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0278307238559743,1.014819689092572,1.0251859550997355,1.014714062445318
6,LogisticRegression,Float64,2048,13.006535363,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0132446067572016,1.007503277252036,1.014046805367725,1.0075870260965154
6,LogisticRegression,Float64,4096,13.109676009,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0115070764337828,1.0078035589404404,1.0128240105873756,1.0079727698510976
6,LogisticRegression,Float64,8192,15.835650741,"LogisticRegression",MCMC,GPU,"Float64",1000,1.005664186148099,1.0038675921924134,1.0053967837312126,1.003955578535035
6,LogisticRegression,Float64,16384,18.726210973,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0052435390321275,1.0039622697000814,1.005196314646029,1.0039818391298363
6,LogisticRegression,Float64,32768,37.280325057,"LogisticRegression",MCMC,GPU,"Float64",1000,1.0025341236049938,1.0019694607419671,1.002689800816326,1.0019715181056048
